name,hint,type
这些文字怎么五彩斑斓的，不同颜色的意义是什么,这些颜色对应某个网络的不同组成部分,启程
（接上）我还是看不懂，这些颜色到底啥意思？,不同地铁线路的颜色,启程
不合法的示例是什么含义？,意为，每个数字必须由至少三个数字相加得到,启程
A和B我理解了，C和D为什么有加减？,需要在前面数字代表的地铁站的基础上向前或后移动几站。,启程
不想算了，直接告诉我答案吧,LOCA=徐家汇 LOCB=东方体育中心 LOCC=杨树浦路 LOCD=云锦路,启程
直接获取A1的答案,徐光启,A
直接获取A2的答案,欲求超胜必须会通会通之前先须翻译,A
直接获取A3的答案,1879,A
直接获取A4的答案,土山湾圣物部,A
直接获取A5的答案,代数学家咖啡,A
我看到那个建筑了，但我看不清它的名字,拿手机相机放大拍摄，或者打开地图软件试试看,A
直接获取A6的答案,西藏大厦,A
直接获取B1的答案,木区石区,B
直接获取B2的答案,891011121314,B
直接获取B3的答案,MOVIEMOVIE,B
直接获取B4的答案,6,B
直接获取B5的答案,4,B
这个图片是什么意思,左右都与地铁有关，以及方形的英文又有什么含义？,B
直接获取B6的答案,BIRKENSTOCK,B
直接获取C1的答案,弘扬拥政爱民,C
直接获取C2的答案,怡和纱厂,C
直接获取C3的答案,水之源归源,C
直接获取C4的答案,粗细纱间厂房,C
直接获取C5的答案,SHOWBUND,C
直接获取C6的答案,5,C
直接获取D1的答案,西岸活力谷,D
直接获取D2的答案,特种车辆除外,D
直接获取D3的答案,30480,D
直接获取D4的答案,13820,D
直接获取D5的答案,龙华水泥厂,D
直接获取D6的答案,诺布中心,D
我毫无头绪,可以使用搜索软件搜索crossword——这是一个中文版,KEY
大小写有什么含义吗,大写代表这里填入的词竖向排列，小写则横向排列,KEY
对于无更多信息的题目，应该怎么知道填什么？,填这道题目的答案本身,KEY
我想不到某几个对应的词,完成这题并不需要填出所有词。如果你确定缺少了那个词就答不出的话，可以私信绿狮让她给你答案,KEY
那一堆乱码一样的文字又是什么意思,连接最终形成的盘面上的这些字,KEY
请直接告诉我答案,KEY PARK,KEY
叽里咕噜说什么呢看不懂,可以从人称代词入手，尤其是“我”和“我们”,PUZZLE1
这题的关键是什么？,过去和将来时态、否定和疑问语气、名词复数,PUZZLE1
请直接告诉我答案,PUZZLE1 shichuju shui,PUZZLE1
这地方真实存在吗,是的，不出意外的话这个地图你在前面的流程中也用到过,PUZZLE2
（接上）我还是看不懂，这段消息到底发生在哪里？,上海地铁线路图上,PUZZLE2
什么东西南北的,某些名字里带有“北”的即为北边，以此类推。,PUZZLE2
请直接告诉我答案,PUZZLE2 丰庄,PUZZLE2
不同的颜色有含义吗,绿色代表山，蓝色代表水,PUZZLE3
X和X'的区别是什么,名字的后一个字不同,PUZZLE3
这个东西到底是什么的一部分？,中国地图,PUZZLE3
请直接告诉我答案,PUZZLE3 陕西,PUZZLE3
老鼠到底是什么意思,mouse,PUZZLE4
所以这个人说出老鼠的时候，ta想说的是哪个词,mouth,PUZZLE4
真正重要的是什么？,我（英文）、五、老鼠（英文),PUZZLE4
请直接告诉我答案,PUZZLE4 语,PUZZLE4
请直接告诉我答案（本提示强剧透，建议在结合4个PUZZLE对应提示思考后仍无头绪时点击）,FINAL 西岸自然艺术公园,FINAL
