ID,Qusetion,Answer,Hint,Area
LOCA,A区域位于哪个地铁站,徐家汇,答案正确！A区域为徐家汇。,启程
LOCB,B区域位于哪个地铁站,东方体育中心,答案正确！B区域为东方体育中心。,启程
LOCC,C区域位于哪个地铁站,杨树浦路,答案正确！C区域为杨树浦路。,启程
LOCD,D区域位于哪个地铁站,云锦路,答案正确！D区域为云锦路。,启程
A1,从1号口出站回头走，路边有一位科学家在这里风雨无阻地望着过往行人，这位科学家的名字是什么？,徐光启,太行山以西的某个省,A
A2,接着向前走，会路过该区域一个标志性的文化空间，它的外形是一棱一棱的。走进这个建筑物，在一层少儿区对面，又看到了这位熟悉科学家的名字。他提出了什么主张？,欲求超胜必须会通会通之前先须翻译,一项政策，旨在缩小东西发展差距,A
A3,走出建筑左拐，有一块透明牌子带着你穿越到了过去的哪一年？,1879,一种杂体诗类型，常见于民间文学创作,A
A4,右前方是这个地区的另一标志性建筑。在这个文创产业发达的年代，即使是这样的建筑，也建立起了纪念品中心，它的名字是？,土山湾圣物部,本题无更多信息,A
A5,回到主干道后接着向左走，路过了▼和■的符号，这家店的名字是？,代数学家咖啡,中国第一家以商业企业形式独立运营的航空公司,A
A6,从商场的二楼走入天桥，左手边一幢楼上，有一个和该区域格格不入的建筑物。这幢楼的名字是？,西藏大厦,本题无更多信息,A
B1,从3号口出站，可以看到左右两边的建筑外立面风格截然不同，因此商场将它们命名为？,木区石区,本题无更多信息,B
B2,站在四楼连接两个区的天桥上，可以看到远方的一座建筑，该区域的地铁站即以这个建筑命名。在它的外立面上有很多数字，将数字连在一起输入即为答案,8.91011E+11,形容事物转瞬即逝,B
B3,在天桥上欣赏一会风景后下楼，向远离地铁站的方向走。站在几阶富有艺术感的楼梯下方，向右上方看去，有一家著名书店的落地窗透出灯牌的辉光，上面的单词是什么？,MOVIEMOVIE,译为中文,B
B4,从商场的西南角出来，走到路的斜对面回头看商场，楼上露天处有几棵棕榈树？,6,一种不可篡改、安全可信的去中心化分布式账本,B
B5,面对这些棕榈树，你的左手边是一块城市绿地，绿地中的电箱都被画上了美丽的“皮肤”。其中一个电箱上画的是野餐篮近景，篮子里有几根法棍？,4,一系列密室逃脱游戏的合集名称,B
B6,从绿地下沉式广场的地道进入地铁，地道的某处又有一个通向商场的门。从这个门进去，在某一处，指示牌的大意可用下面这张图表示，此时你正对面商店上的单词是什么？,BIRKENSTOCK,一种数据结构，通过指针连接次序,B
C1,2号口出站之后一直直走，直到有一个路口的右侧显示这个标志。这个标志对面墙上的标语的前六个字是什么？,弘扬拥政爱民,因钱财多而胆壮气盛或敢于花费,C
C2,此时，马路右前方的建筑原名是什么？,怡和纱厂,本题无更多信息,C
C3,接着向前走，你可以在地上看到一个椭圆形。椭圆形里的文字是什么？,水之源归源,一种地理现象，多发生于火山运动活跃的区域,C
C4,直走到“大桥”对面右转，再一直走到江边为止。沿着江边的健步道接着向前走，很快你就会在左手边看到一些金属制的水上休息处。长椅上介绍了一个过去的建筑，这个建筑面积最大的是哪个区域？,粗细纱间厂房,本题无更多信息,C
C5,接着向前走，你的两边会出现求和符号。求和符号下方的一串英文是什么？,SHOWBUND,一知名品牌所生产的饮料,C
C6,左转，向最近的地铁站前行，你会看到一群海豚从地面上跃起，这群海豚一共有几只？,5,可用于路边摊贩宣传，常表示商品卖得较便宜,C
D1,从四号口出发，右手边有一个下沉式球场。这个球场的官方名字被错层地印在了台阶上，它的名字是？,西岸活力谷,进入新的环境后身体出现不适感,D
D2,往江边的方向继续走，一个知名互联网公司坐落于此。从它的楼底穿过，走过灌木丛的时候，对面警示标志上的字是什么？,特种车辆除外,生物组织或细胞在兴奋后对再次刺激暂时失去反应能力的生理现象,D
D3,过马路，有一个标志性的、由几个圆柱体构成的建筑。在这个建筑的正门口有一个集装箱，它的最大承重量是多少kg？,30480,人在进行某种极限运动时必须穿着的服装,D
D4,临江商业街前方有一块滨江平台，这个平台上，从左往右数第三根灯柱的ID是多少？,13820,设置在学期半程的检测,D
D5,继续往前走，又有一块延伸到水中的平台，之前的作用与船有关。它的介绍牌上向我们展示了临江商场的前身是？,龙华水泥厂,本题无更多信息,D
D6,附近有一个地下商场一直被调侃“像迷宫一样”，根据商场里的地图，这个商场的 J 区是什么？,诺布中心,本题无更多信息,D
KEY,KEY,PARK,祝贺你成功找到KEY！没错，本次旅程的最后一站即在某个公园中，完成PUZZLE吧，它们会带给你更多关于这个公园的线索。当你确认具体公园的时候，输入FINAL+空格+公园名称，以验证最终答案。,KEY
FINAL,FINAL,西岸自然艺术公园,祝贺！你成功找到了最终终点！你无需真的去到这里，把这个界面截图发给绿狮即可获得奶茶一杯（作为你愿意赏脸游玩的感谢）。西岸自然艺术公园是我非常喜欢的一个地方，但由于其离主要地铁线太远，没有将其放入探索区域中。如果你有空的话，欢迎前往感受一下。,FINAL
PUZZLE1,翻译：你去过那些地方吗？,shichuju shui,x,PUZZLE
PUZZLE2,所在地是？,丰庄,x,PUZZLE
PUZZLE3,D代表的是？,陕西,x,PUZZLE
PUZZLE4,最后想写的字是？,语,x,PUZZLE
